id,name,host_id,host_name,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,street,neighbourhood,city,state,market,zipcode,property_type,room_type,accommodates1,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,calculated_host_listings_count,reviews_per_month
6291829,Grand Craftsman Home on Queen Anne,32713558,Kary,5-May-15,"Seattle, Washington, United States",N/A,N/A,f,Queen Anne,1,1,t,t,"1st Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Entire home/apt,10,3.5,5,5,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Shampoo}",700,500,250,1,$0.00 ,3,30,t,24,54,84,359,5,85,10,9,9,9,8,8,f,f,flexible,f,1,0.82
4125779,Cozy Queen Anne Finished Basement,21401856,Nick,16-Sep-14,"Seattle, Washington, United States",100%,100%,f,Queen Anne,1,1,t,f,"2nd Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Private room,3,1.5,1,2,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",""Free Parking on Premises"",""Pets live on this property"",Heating,""Family/Kid Friendly"",Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",99,,15,1,$10.00 ,1,1125,t,30,60,90,365,11,84,9,9,9,9,10,8,f,f,moderate,f,1,0.71
8942678,Lovely Queen Anne home,46675077,Susanna,16-Oct-15,"Seattle, Washington, United States",100%,100%,f,Queen Anne,1,1,t,f,"1st Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Entire home/apt,8,2,4,4,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher""}",450,,,1,$0.00 ,4,1125,t,0,0,0,53,1,100,10,10,10,10,10,10,f,f,flexible,f,1,0.86
10106055,"Cozy Lower Level, Upper Queen Anne",51860756,Maggie & Alex,20-Dec-15,"Seattle, Washington, United States",N/A,N/A,f,Queen Anne,1,1,t,f,"West Galer Street, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Private room,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Laptop Friendly Workspace""}",75,,,1,$0.00 ,1,1125,t,30,60,90,365,0,,,,,,,,f,f,flexible,f,1,
6362362,Charming home on Queen Anne,33147763,Tracy,11-May-15,"Seattle, Washington, United States",N/A,N/A,f,Queen Anne,1,1,t,f,"10th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Entire home/apt,5,2.5,3,3,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",600,500,150,1,$0.00 ,3,1125,t,0,0,0,212,1,100,10,10,10,10,10,10,f,f,moderate,f,1,0.18
3544550,VIEW-Monthly Rental Available,16708587,Jill,12-Jun-14,"Seattle, Washington, United States",67%,100%,f,Queen Anne,2,2,t,t,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Entire home/apt,8,2.5,3,5,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",450,500,200,6,$50.00 ,4,1125,t,0,3,33,293,8,100,10,10,9,10,10,10,f,f,strict,f,2,1.3
9025039,Cute Bungalow-Close to Everything!,68155,Lori,6-Jan-10,"Seattle, Washington, United States",100%,100%,f,Queen Anne,1,1,t,t,"West McGraw Street, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Entire home/apt,5,1,2,3,Real Bed,"{""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers}",150,250,35,1,$0.00 ,1,1125,t,0,0,0,49,0,,,,,,,,f,f,flexible,f,1,
3200646,Micro Gypsy Wagon on Queen Anne,4016632,Jean-Marc,30-Oct-12,"Seattle, Washington, United States",100%,100%,t,Queen Anne,5,5,t,t,"West Wheeler Street, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,Camper/RV,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Essentials}",45,150,25,1,$0.00 ,2,7,t,22,49,49,107,80,95,10,10,10,10,9,9,f,f,strict,t,5,4.38
8859380,STUNNING VIEW of Puget Sound,3792761,Kimberly,7-Oct-12,"Seattle, Washington, United States",100%,100%,f,Queen Anne,5,5,t,t,"9th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,Apartment,Entire home/apt,6,2,3,3,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",300,500,125,1,$0.00 ,2,1125,t,24,54,84,356,6,100,10,10,10,10,10,10,f,t,moderate,f,1,2.47
4520099,Open Airy Queen Anne Condo,6184895,Lana,1-May-13,"Seattle, Washington, United States",71%,100%,f,Queen Anne,1,1,t,t,"14th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",80,,65,3,$50.00 ,2,1125,t,0,1,30,305,4,85,8,9,7,10,9,9,f,f,strict,f,1,0.33
2481869,Airy + Bright Queen Anne Cottage,5177328,Andrea,21-Feb-13,"Seattle, Washington, United States",98%,100%,t,Queen Anne,6,6,t,t,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",175,,40,1,$0.00 ,2,365,t,19,46,62,323,38,96,10,10,10,10,10,10,f,f,strict,t,6,1.86
1110749,Queen Anne 3 bed near everything,5325329,Blair,4-Mar-13,"Seattle, Washington, United States",97%,100%,f,Queen Anne,9,9,t,t,"5th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Entire home/apt,6,1.5,3,3,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher""}",325,500,100,6,$60.00 ,2,1125,t,23,50,77,162,68,92,9,9,10,9,10,9,f,f,strict,f,8,2.18
5978498,1914 Stunner View Ocean Mountain,31037494,Silvia,11-Apr-15,"Seattle, Washington, United States",60%,100%,f,Queen Anne,1,1,t,t,"11th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Entire home/apt,4,3,3,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Laptop Friendly Workspace""}",175,200,80,1,$0.00 ,4,120,t,0,0,9,213,8,88,9,9,9,9,10,9,f,f,flexible,f,1,1.31
5021081,Seattle Queen Anne Beauty,25906186,Vacation,10-Jan-15,US,71%,100%,f,Queen Anne,1,1,t,t,"14th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Entire home/apt,7,3.5,4,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",222,500,250,7,$75.00 ,2,1125,t,0,0,0,2,5,75,8,9,8,9,9,8,f,t,strict,f,1,0.99
1686930,The Hideaway- Queen Anne/downtown,8916363,Paige,18-Sep-13,US,100%,100%,f,Queen Anne,1,1,t,f,"West Galer Street, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,Apartment,Entire home/apt,4,1,2,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",159,250,99,1,$0.00 ,1,1125,t,11,38,68,309,62,97,10,10,10,10,10,9,f,f,strict,f,1,2.27
7680289,QUEEN ANNE VIEW ONE! - SEATTLE,40335071,Kevin,2-Aug-15,"Kirkland, Washington, United States",100%,100%,f,Queen Anne,2,2,t,t,"12th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",125,,50,2,$25.00 ,2,365,t,30,60,90,353,19,95,10,10,10,10,10,10,f,t,moderate,f,2,4.35
7207641,"URBAN SANCTUARY, 3BR, QUEEN ANNE",6544973,Joe & Anna,23-May-13,"Seattle, Washington, United States",50%,N/A,f,Queen Anne,1,1,t,t,"3rd Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Entire home/apt,8,3,3,3,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",348,750,150,6,$20.00 ,3,1125,t,0,0,0,153,5,96,10,10,10,10,10,9,f,f,strict,f,1,0.97
5062445,Cozy Homebase Close to Downtown,21072725,Chris,8-Sep-14,"Seattle, Washington, United States",31%,100%,f,Queen Anne,1,1,t,f,"West Howe Street, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Private room,1,1,1,1,Futon,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials}",45,,,1,$0.00 ,1,1125,t,28,58,88,363,7,97,9,8,10,10,10,10,f,f,flexible,f,1,0.9
8925878,VIEW QUEEN ANNE! - VINTAGE SEATTLE,40335071,Kevin,2-Aug-15,"Kirkland, Washington, United States",100%,100%,f,Queen Anne,2,2,t,t,"12th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}",150,,50,2,$25.00 ,2,365,t,16,46,76,351,2,100,10,10,10,10,10,10,f,t,moderate,f,2,0.83
6389657,Cute little Seattle Studio!,2052160,Ruth,2-Apr-12,"Seattle, Washington, United States",100%,100%,t,Queen Anne,1,1,t,t,"Queen Anne Avenue North, Seattle, WA 98109, United States",Queen Anne,Seattle,WA,Seattle,98109,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",80,,20,1,$0.00 ,3,1125,t,12,38,40,201,11,98,10,10,10,10,10,10,f,f,flexible,f,1,1.98
4218733,Walker's Dream on Queen Anne Hill,21896205,Henry,28-Sep-14,"Seattle, Washington, United States",100%,100%,f,Queen Anne,1,1,t,t,"W. Crockett St., Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",110,100,40,2,$15.00 ,2,1125,t,19,46,76,351,71,90,10,8,10,10,10,9,f,f,moderate,f,1,4.7
2715623,"DARLING VINTAGE COTTAGE, QUEEN ANNE",8242272,Debera,18-Aug-13,"Seattle, Washington, United States",100%,100%,f,Queen Anne,1,1,t,t,"-11th Ave. W., Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Entire home/apt,3,1,1,2,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",148,,100,2,$20.00 ,3,365,t,0,13,43,310,9,91,9,10,9,9,10,10,f,f,strict,t,1,0.46
1392332,Modern Eco-Friendly View Retreat,2315558,Holly,7-May-12,"Seattle, Washington, United States",N/A,N/A,f,Queen Anne,1,1,t,t,"11th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Entire home/apt,4,1.5,2,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets Allowed"",""Hot Tub"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",350,500,100,4,$0.00 ,2,30,t,0,3,33,308,41,98,10,10,10,10,10,9,f,f,moderate,f,1,1.38
7308567,Beautiful 1 Bedrm in Queen Anne,17597607,Nicole,3-Jul-14,"Seattle, Washington, United States",100%,100%,t,Queen Anne,1,1,t,t,"3rd Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,Apartment,Entire home/apt,3,1.5,1,2,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",150,,50,1,$0.00 ,2,1125,t,8,34,64,339,18,98,10,10,10,10,10,10,f,f,moderate,f,1,3.35
